"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 12 20:54:54 GMT 2023","Sun Feb 12 20:55:10 GMT 2023","16540","chromium","","Login and Logout","","","User should login and logout",""
"passed","Sun Feb 12 20:57:10 GMT 2023","Sun Feb 12 20:57:37 GMT 2023","27274","webkit","","Whish list","","","User should add item to whish list, preview, add to cart",""
"passed","Sun Feb 12 20:56:20 GMT 2023","Sun Feb 12 20:56:52 GMT 2023","31814","webkit","","Bags page","","","User should see frame on hover over to item, sort by position/product name/price, sorted accordingly",""
"passed","Sun Feb 12 20:56:53 GMT 2023","Sun Feb 12 20:57:37 GMT 2023","43426","webkit","","Reset password","","","User should reset password, log in with new password, try to Log in with old password",""
"passed","Sun Feb 12 20:55:44 GMT 2023","Sun Feb 12 20:56:11 GMT 2023","27074","firefox","","Promotions item","","","User should add item to preview and cart",""
"passed","Sun Feb 12 20:55:28 GMT 2023","Sun Feb 12 20:55:39 GMT 2023","11543","firefox","","Guest page","","","Guest should submit the form with a non-existing order id and the rest valid data verify the form is not submitted",""
"passed","Sun Feb 12 20:55:17 GMT 2023","Sun Feb 12 20:55:44 GMT 2023","27117","firefox","","Bags page","","","User should see frame on hover over to item, sort by position/product name/price, sorted accordingly",""
"passed","Sun Feb 12 20:55:13 GMT 2023","Sun Feb 12 20:55:28 GMT 2023","14656","firefox","","Advanced search","","","User should submit the form with any random data, verify there is a page with no results found ",""
"passed","Sun Feb 12 20:54:54 GMT 2023","Sun Feb 12 20:55:02 GMT 2023","8526","chromium","","Advanced search","","","User should submit the form with any random data, verify there is a page with no results found ",""
"passed","Sun Feb 12 20:55:02 GMT 2023","Sun Feb 12 20:55:38 GMT 2023","35469","chromium","","Reset password","","","User should reset password, log in with new password, try to Log in with old password",""
"passed","Sun Feb 12 20:54:58 GMT 2023","Sun Feb 12 20:55:13 GMT 2023","15173","chromium","","Promotions item","","","User should add item to preview and cart",""
"passed","Sun Feb 12 20:55:47 GMT 2023","Sun Feb 12 20:56:43 GMT 2023","55973","firefox","","Reset password","","","User should reset password, log in with new password, try to Log in with old password",""
"passed","Sun Feb 12 20:56:44 GMT 2023","Sun Feb 12 20:57:11 GMT 2023","27270","webkit","","Login and Logout","","","User should login and logout",""
"passed","Sun Feb 12 20:55:52 GMT 2023","Sun Feb 12 20:56:31 GMT 2023","38538","firefox","","Eco friendly collections","","","User should search, add the most expensive product and verify result in cart",""
"passed","Sun Feb 12 20:55:02 GMT 2023","Sun Feb 12 20:55:10 GMT 2023","7510","chromium","","Sale page","","","User should select item from the left menu, verify each items info, see 'Add to Cart'",""
"passed","Sun Feb 12 20:55:44 GMT 2023","Sun Feb 12 20:55:57 GMT 2023","12082","firefox","","Sale page","","","User should select item from the left menu, verify each items info, see 'Add to Cart'",""
"passed","Sun Feb 12 20:55:57 GMT 2023","Sun Feb 12 20:56:34 GMT 2023","37640","firefox","","Whish list","","","User should add item to whish list, preview, add to cart",""
"passed","Sun Feb 12 20:56:40 GMT 2023","Sun Feb 12 20:56:52 GMT 2023","11845","webkit","","Home page","","","User should see banners and contents",""
"passed","Sun Feb 12 20:55:42 GMT 2023","Sun Feb 12 20:55:52 GMT 2023","10503","firefox","","Home page","","","User should see banners and contents",""
"passed","Sun Feb 12 20:55:10 GMT 2023","Sun Feb 12 20:55:40 GMT 2023","30537","chromium","","Eco friendly collections","","","User should search, add the most expensive product and verify result in cart",""
"passed","Sun Feb 12 20:56:52 GMT 2023","Sun Feb 12 20:57:12 GMT 2023","20785","webkit","","Sale page","","","User should select item from the left menu, verify each items info, see 'Add to Cart'",""
"passed","Sun Feb 12 20:56:10 GMT 2023","Sun Feb 12 20:56:27 GMT 2023","16367","webkit","","Advanced search","","","User should submit the form with any random data, verify there is a page with no results found ",""
"passed","Sun Feb 12 20:56:39 GMT 2023","Sun Feb 12 20:57:10 GMT 2023","30404","webkit","","Promotions item","","","User should add item to preview and cart",""
"passed","Sun Feb 12 20:55:39 GMT 2023","Sun Feb 12 20:56:00 GMT 2023","20553","firefox","","Login and Logout","","","User should login and logout",""
"passed","Sun Feb 12 20:56:27 GMT 2023","Sun Feb 12 20:56:39 GMT 2023","12676","webkit","","Guest page","","","Guest should submit the form with a non-existing order id and the rest valid data verify the form is not submitted",""
"passed","Sun Feb 12 20:56:52 GMT 2023","Sun Feb 12 20:57:28 GMT 2023","36312","webkit","","Eco friendly collections","","","User should search, add the most expensive product and verify result in cart",""
"passed","Sun Feb 12 20:55:10 GMT 2023","Sun Feb 12 20:55:40 GMT 2023","29492","chromium","","Whish list","","","User should add item to whish list, preview, add to cart",""
"passed","Sun Feb 12 20:54:54 GMT 2023","Sun Feb 12 20:55:11 GMT 2023","17162","chromium","","Bags page","","","User should see frame on hover over to item, sort by position/product name/price, sorted accordingly",""
"passed","Sun Feb 12 20:54:54 GMT 2023","Sun Feb 12 20:54:58 GMT 2023","3883","chromium","","Home page","","","User should see banners and contents",""
"passed","Sun Feb 12 20:54:54 GMT 2023","Sun Feb 12 20:55:02 GMT 2023","8318","chromium","","Guest page","","","Guest should submit the form with a non-existing order id and the rest valid data verify the form is not submitted",""
